ID,adj.P.Val,P.Value,t,B,logFC,GB_ACC,GI,Gene.Symbol,SPOT_ID
11737218_x_at,7.75E-02,2.82E-02,-2.31,-4.373127,-1.15E-01,NM_001036645.1,NA,HHLA3,
11725284_a_at,7.75E-02,2.82E-02,-2.31,-4.373315,-1.54E-01,AK304152.1,NA,ZFP90,
11720786_a_at,7.75E-02,2.82E-02,-2.31,-4.373361,-2.71E-01,NM_016141.2,NA,DYNC1LI1,
11748390_a_at,7.75E-02,2.82E-02,-2.31,-4.373582,-2.16E-01,AK297962.1,NA,ZDHHC16,
11742041_x_at,7.75E-02,2.82E-02,-2.31,-4.373648,-1.56E-01,NM_148414.1,NA,ATXN2L,
11728619_a_at,7.76E-02,2.82E-02,-2.31,-4.374123,-7.97E-01,NM_006671.4,NA,SLC1A7,
11761085_x_at,7.76E-02,2.82E-02,-2.31,-4.374153,-1.27E-01,AK304037.1,NA,ADAM33,
11725933_at,7.76E-02,2.82E-02,-2.31,-4.374552,-6.35E-01,AK293604.1,NA,HSPA5,
11727544_a_at,7.76E-02,2.82E-02,2.31,-4.375041,2.81E-01,NM_001190.2,NA,BCAT2,
11754606_a_at,7.76E-02,2.82E-02,-2.31,-4.375171,-4.09E-01,BM978085,NA,HSP90B1,
11726260_a_at,7.76E-02,2.82E-02,-2.31,-4.375352,-2.95E-01,BC018104.1,NA,RNF141,
11746659_a_at,7.76E-02,2.82E-02,2.31,-4.375364,2.56E-01,AK298764.1,NA,NR2F6,
11719570_at,7.77E-02,2.82E-02,2.31,-4.375746,3.24E-01,AW978462,NA,RCHY1,
11725575_a_at,7.77E-02,2.82E-02,2.31,-4.375767,4.62E-01,NM_001039753.2,NA,EML6,
11718690_a_at,7.77E-02,2.83E-02,2.31,-4.375838,2.63E-01,NM_005469.2,NA,ACOT8,
11759028_at,7.77E-02,2.83E-02,2.31,-4.376282,3.10E-01,AF284094.1,NA,BRI3BP /// THRIL,
11749673_x_at,7.77E-02,2.83E-02,2.31,-4.37629,1.98E-01,BC031262.1,NA,CTNNA1,
11724776_at,7.77E-02,2.83E-02,-2.31,-4.376359,-4.67E-01,BC059360.1,NA,PGM2L1,
11755165_a_at,7.77E-02,2.83E-02,-2.31,-4.376374,-1.75E-01,BC171895.1,NA,METTL12,
11730574_s_at,7.77E-02,2.83E-02,-2.31,-4.376403,-1.72E-01,NM_001001668.3,NA,ZNF470,
11759407_at,7.77E-02,2.83E-02,-2.31,-4.37648,-4.17E-01,NM_022106.1,NA,FAM217B,
11716370_x_at,7.77E-02,2.83E-02,-2.31,-4.37658,-1.51E-01,NM_001098784.1,NA,FAM89B,
11755501_a_at,7.77E-02,2.83E-02,-2.31,-4.376864,-1.42E-01,BC055415.1,NA,PLSCR2,
11723583_a_at,7.77E-02,2.83E-02,-2.31,-4.377049,-2.86E-01,CR533565.1,NA,RACGAP1,
11732401_a_at,7.77E-02,2.83E-02,-2.31,-4.377087,-2.57E-01,NM_014420.2,NA,DKK4,
11745205_s_at,7.77E-02,2.83E-02,2.31,-4.37715,3.07E-01,BC018117.1,NA,TPD52,
11745484_s_at,7.77E-02,2.83E-02,-2.31,-4.377285,-9.77E-02,AK301325.1,NA,PGC,
11750960_a_at,7.78E-02,2.83E-02,2.31,-4.377651,1.74E-01,AK294326.1,NA,AASS,
11761164_at,7.78E-02,2.83E-02,-2.31,-4.377675,-1.26E-01,AK296594.1,NA,---,
11734387_at,7.78E-02,2.83E-02,2.31,-4.377771,1.43E-01,NM_001076780.1,NA,PKD1L2,
11743546_a_at,7.78E-02,2.83E-02,-2.31,-4.377785,-4.47E-01,BF215996,NA,MYO1B,
11754855_a_at,7.78E-02,2.83E-02,-2.31,-4.377979,-1.40E-01,AK127034.1,NA,MOBP,
11718692_x_at,7.78E-02,2.83E-02,-2.31,-4.378368,-2.12E-01,NM_014963.2,NA,SBNO2,
11732442_s_at,7.78E-02,2.83E-02,2.31,-4.378628,2.66E-01,AB032251.1,NA,BPTF,
11716611_x_at,7.79E-02,2.84E-02,-2.31,-4.379408,-1.55E-01,NM_004069.3,NA,AP2S1,
11752735_a_at,7.79E-02,2.84E-02,2.31,-4.379419,3.25E-01,AK297777.1,NA,NARS,
11735225_x_at,7.79E-02,2.84E-02,2.31,-4.379507,1.41E-01,NM_138924.1,NA,GAMT,
11715874_s_at,7.79E-02,2.84E-02,2.31,-4.379591,2.59E-01,NM_006356.2,NA,ATP5H,
11753750_x_at,7.79E-02,2.84E-02,-2.31,-4.379713,-2.48E-01,L76416.1,NA,SUMO2,
11744339_a_at,7.79E-02,2.84E-02,2.31,-4.380112,2.13E-01,AF059319.1,NA,PRMT2,
11723729_at,7.79E-02,2.84E-02,2.31,-4.380219,6.17E-01,BC063787.1,NA,KREMEN1,
11760501_a_at,7.80E-02,2.84E-02,2.31,-4.380415,5.54E-01,BP325859,NA,WSB1,
11761054_a_at,7.80E-02,2.84E-02,-2.31,-4.380885,-1.51E-01,BC036947.1,NA,TBC1D16,
11717242_a_at,7.80E-02,2.84E-02,-2.31,-4.380942,-1.59E-01,BC002559.2,NA,YTHDF2,
11736564_at,7.80E-02,2.84E-02,2.31,-4.381407,2.16E-01,BC137175.1,NA,DOCK5,
11745378_a_at,7.80E-02,2.84E-02,2.31,-4.381683,2.24E-01,AF474376.1,NA,ZC3H14,
11718327_a_at,7.81E-02,2.84E-02,-2.31,-4.381833,-5.18E-01,AK292961.1,NA,WWC3,
11728846_at,7.81E-02,2.84E-02,2.31,-4.381992,3.63E-01,NM_004821.2,NA,HAND1,
11718361_at,7.81E-02,2.84E-02,-2.31,-4.382022,-2.49E-01,BG391060,NA,COIL,
11729020_at,7.81E-02,2.85E-02,2.31,-4.382302,2.75E-01,NM_194250.1,NA,ZNF804A,
11762752_at,7.81E-02,2.85E-02,-2.31,-4.382899,-1.09E-01,AK302474.1,NA,LETM2,
11754276_a_at,7.81E-02,2.85E-02,-2.31,-4.383086,-4.03E-01,BG501496,NA,RAD23B,
11736986_x_at,7.81E-02,2.85E-02,-2.31,-4.383217,-3.67E-01,BC024919.1,NA,NUBPL,
11731599_a_at,7.82E-02,2.85E-02,2.31,-4.383677,3.79E-01,BC022791.1,NA,FOSL2,
11740600_at,7.82E-02,2.85E-02,2.31,-4.383737,1.26E-01,D16845.1,NA,TRHR,
11751783_a_at,7.82E-02,2.85E-02,2.31,-4.383918,3.39E-01,AK297034.1,NA,MFSD1,
11721909_at,7.82E-02,2.85E-02,-2.31,-4.384214,-2.14E-01,BC137172.1,NA,CRAMP1,
11733654_a_at,7.82E-02,2.85E-02,-2.31,-4.384398,-1.66E-01,AK301411.1,NA,SLC12A9,
11747469_x_at,7.82E-02,2.85E-02,-2.31,-4.384503,-1.82E-01,AK316470.1,NA,KDM2B,
11738032_x_at,7.82E-02,2.85E-02,-2.31,-4.384552,-1.34E-01,BC146888.1,NA,FAM153C,
11730962_a_at,7.82E-02,2.85E-02,-2.31,-4.384553,-2.32E-01,BC049196.1,NA,CEPT1,
11718080_a_at,7.82E-02,2.85E-02,2.31,-4.384779,2.32E-01,BC033694.1,NA,BCL2L11,
11720370_x_at,7.83E-02,2.85E-02,-2.31,-4.384926,-2.52E-01,BC012604.1,NA,RTCA,
11724702_a_at,7.83E-02,2.86E-02,-2.31,-4.385338,-1.16E-01,AK290817.1,NA,ELF5,
11732103_s_at,7.83E-02,2.86E-02,2.31,-4.38553,3.26E-01,NM_003536.2,NA,HIST1H3H,
11757539_s_at,7.83E-02,2.86E-02,2.31,-4.385611,3.49E-01,T97323,NA,STIM2,
11737052_x_at,7.83E-02,2.86E-02,2.31,-4.385717,7.43E-01,NM_001080955.1,NA,PLAGL1,
11731998_s_at,7.83E-02,2.86E-02,2.31,-4.385726,2.96E-01,NM_001080414.2,NA,CCDC88C,
11741895_a_at,7.83E-02,2.86E-02,-2.31,-4.385804,-2.74E-01,NM_017493.5,NA,OTUD4,
11764223_at,7.83E-02,2.86E-02,-2.31,-4.386065,-1.08E-01,N48975,NA,---,
11751990_s_at,7.83E-02,2.86E-02,-2.31,-4.386156,-2.36E-01,BC028389.1,NA,LOC102723728 /// NOMO1 /// NOMO2 /// NOMO3,
11721571_a_at,7.83E-02,2.86E-02,-2.31,-4.38627,-4.25E-01,AK316317.1,NA,FAM173B,
11751694_a_at,7.83E-02,2.86E-02,-2.31,-4.386276,-2.53E-01,AK299240.1,NA,ATF1,
11759112_at,7.83E-02,2.86E-02,-2.31,-4.386398,-4.77E-01,AA059466,NA,LOC100506548 /// RPL37,
11763070_x_at,7.83E-02,2.86E-02,2.31,-4.386534,1.33E-01,BC127725.1,NA,LOC102723552,
11755097_a_at,7.84E-02,2.86E-02,2.31,-4.386979,1.53E-01,BC036871.1,NA,KIF17,
11743565_at,7.84E-02,2.86E-02,-2.31,-4.387605,-2.61E-01,BC011196.2,NA,CABLES2,
11745771_s_at,7.84E-02,2.86E-02,-2.31,-4.387651,-2.04E-01,AK289955.1,NA,RNPS1,
11716792_s_at,7.84E-02,2.86E-02,-2.31,-4.3878,-7.32E-01,D42073.1,NA,DKFZp686K1684 /// RCN1,
11756893_x_at,7.85E-02,2.86E-02,2.3,-4.388039,1.56E-01,BX647356.1,NA,RAB11B,
11723380_a_at,7.85E-02,2.86E-02,2.3,-4.388076,2.30E-01,NM_001112726.1,NA,CEP170B,
11735474_a_at,7.85E-02,2.86E-02,2.3,-4.388173,2.95E-01,BC100911.1,NA,CD8B,
11749184_a_at,7.85E-02,2.87E-02,2.3,-4.388396,2.34E-01,AK296450.1,NA,DTNA,
11763624_x_at,7.85E-02,2.87E-02,2.3,-4.388467,1.67E-01,AY615270.1,NA,GADD45B,
11745709_x_at,7.85E-02,2.87E-02,-2.3,-4.388864,-1.29E-01,BC113496.1,NA,IDO2,
11733435_x_at,7.85E-02,2.87E-02,2.3,-4.388924,1.23E-01,NM_001099855.1,NA,MCF2,
11753526_x_at,7.85E-02,2.87E-02,-2.3,-4.389079,-1.42E-01,EU392507.1,NA,MED25,
11748257_a_at,7.85E-02,2.87E-02,-2.3,-4.389081,-1.97E-01,AK294228.1,NA,NPRL3,
11729724_at,7.85E-02,2.87E-02,-2.3,-4.38926,-2.43E-01,NM_006626.4,NA,ZBTB6,
11747937_a_at,7.85E-02,2.87E-02,-2.3,-4.389293,-4.68E-01,AK297796.1,NA,DNAJB6,
11759357_a_at,7.85E-02,2.87E-02,-2.3,-4.389507,-1.30E-01,NM_058191.3,NA,PAXBP1,
11734868_at,7.85E-02,2.87E-02,-2.3,-4.389688,-1.72E-01,NM_198485.3,NA,TPRG1,
11719210_a_at,7.86E-02,2.87E-02,2.3,-4.389817,1.96E-01,NM_020857.2,NA,VPS18,
11741765_a_at,7.86E-02,2.87E-02,2.3,-4.389889,1.67E-01,AK290248.1,NA,METTL20,
11752077_a_at,7.86E-02,2.87E-02,2.3,-4.390042,1.33E-01,BC014214.2,NA,AP2A1,
11748192_x_at,7.86E-02,2.87E-02,-2.3,-4.390155,-1.68E-01,AK299522.1,NA,ATCAY,
11723189_a_at,7.86E-02,2.87E-02,2.3,-4.390566,1.89E-01,AF311317.1,NA,ADAM19,
11728263_at,7.86E-02,2.87E-02,-2.3,-4.390723,-3.03E-01,BC003194.1,NA,LUC7L,
11758831_at,7.86E-02,2.87E-02,-2.3,-4.390854,-1.70E-01,BM999152,NA,POLR2C,
11720787_a_at,7.86E-02,2.87E-02,-2.3,-4.390916,-1.99E-01,CR623843.1,NA,DYNC1LI1,
11748976_a_at,7.86E-02,2.87E-02,2.3,-4.390962,1.50E-01,AK293160.1,NA,STRADA,
11747616_a_at,7.87E-02,2.87E-02,-2.3,-4.391413,-2.05E-01,AK304314.1,NA,ASPH,
11745670_a_at,7.87E-02,2.88E-02,-2.3,-4.392057,-1.79E-01,BC117472.1,NA,LRCH1,
11749730_a_at,7.87E-02,2.88E-02,2.3,-4.392174,1.70E-01,AK304403.1,NA,PTGS1,
11748041_a_at,7.87E-02,2.88E-02,-2.3,-4.392243,-1.53E-01,EF467323.1,NA,MAVS,
11758340_x_at,7.88E-02,2.88E-02,2.3,-4.392964,6.93E-01,AV693491,NA,HLA-DQA1 /// HLA-DQA2,
11727914_s_at,7.88E-02,2.88E-02,2.3,-4.393119,1.39E-01,NM_001076682.2,NA,NCAM1,
11734076_a_at,7.88E-02,2.88E-02,2.3,-4.39318,1.37E-01,NM_001142640.1,NA,TNRC6C,
11729615_a_at,7.88E-02,2.88E-02,-2.3,-4.393258,-2.38E-01,NM_002134.3,NA,HMOX2,
11748052_x_at,7.88E-02,2.88E-02,-2.3,-4.393432,-2.95E-01,AK316539.1,NA,EI24,
11739681_x_at,7.88E-02,2.88E-02,-2.3,-4.393608,-3.82E-01,DB377607,NA,AHR,
200009_PM_at,7.88E-02,2.88E-02,-2.3,-4.393719,-1.39E-01,NM_001494.2,NA,GDI2,
11741630_a_at,7.88E-02,2.88E-02,-2.3,-4.393769,-1.94E-01,AK294020.1,NA,C3orf58,
11740697_a_at,7.88E-02,2.88E-02,-2.3,-4.394208,-1.43E-01,BC074920.2,NA,MAGEB6,
11763991_at,7.89E-02,2.88E-02,-2.3,-4.394417,-1.71E-01,AW027194,NA,---,
11729911_a_at,7.89E-02,2.88E-02,-2.3,-4.394509,-2.13E-01,BX348276,NA,IBA57,
11749978_a_at,7.89E-02,2.89E-02,2.3,-4.394662,5.45E-01,AK301130.1,NA,MVP,
11729490_a_at,7.89E-02,2.89E-02,2.3,-4.394878,1.95E-01,U57971.1,NA,ATP2B3,
11725604_at,7.89E-02,2.89E-02,-2.3,-4.394953,-1.58E-01,U82759.1,NA,HOXA9,
11755525_a_at,7.89E-02,2.89E-02,2.3,-4.395035,2.20E-01,AK096049.1,NA,ATOH8,
11744206_at,7.89E-02,2.89E-02,-2.3,-4.395155,-2.10E-01,BG432372,NA,PAH,
11724063_s_at,7.89E-02,2.89E-02,2.3,-4.395452,4.49E-01,NM_024306.3,NA,FA2H,
11731108_s_at,7.90E-02,2.89E-02,-2.3,-4.395867,-2.37E-01,AL831939.2,NA,STAG2,
11725906_a_at,7.90E-02,2.89E-02,2.3,-4.395896,1.39E-01,NM_001001938.3,NA,C9orf47,
11723603_a_at,7.90E-02,2.89E-02,-2.3,-4.395988,-2.27E-01,NM_174891.3,NA,C14orf79,
11745083_a_at,7.90E-02,2.89E-02,-2.3,-4.396322,-1.39E-01,AY048775.1,NA,MANEA,
11740145_a_at,7.90E-02,2.89E-02,-2.3,-4.396483,-4.59E-01,AI936964,NA,CEP164,
11743713_x_at,7.90E-02,2.89E-02,2.3,-4.396509,2.94E-01,AI809603,NA,ARID4A,
11750175_s_at,7.90E-02,2.89E-02,2.3,-4.396755,5.39E-01,AK302694.1,NA,SVIL /// SVILP1,
11747579_x_at,7.90E-02,2.89E-02,-2.3,-4.39702,-2.24E-01,AK296772.1,NA,SENP2,
11725498_a_at,7.90E-02,2.89E-02,-2.3,-4.397228,-2.69E-01,NM_032256.1,NA,TMEM117,
11716144_a_at,7.91E-02,2.89E-02,2.3,-4.397489,2.84E-01,BE220160,NA,PDCD6IP,
11752818_x_at,7.91E-02,2.89E-02,-2.3,-4.397697,-1.17E-01,BC139744.1,NA,C8orf86,
11727886_a_at,7.91E-02,2.90E-02,2.3,-4.397737,4.09E-01,BC036038.1,NA,ZNF25,
11751593_a_at,7.91E-02,2.90E-02,-2.3,-4.397842,-1.38E-01,AK299959.1,NA,STX1A,
11758686_s_at,7.91E-02,2.90E-02,2.3,-4.397868,2.96E-01,R27753,NA,CD164,
11752644_a_at,7.91E-02,2.90E-02,-2.3,-4.39808,-2.44E-01,D64015.1,NA,TIAL1,
11721998_a_at,7.91E-02,2.90E-02,-2.3,-4.398135,-2.94E-01,DQ063584.1,NA,PARP14,
11729878_at,7.92E-02,2.90E-02,-2.3,-4.399031,-3.70E-01,BM971499,NA,ZNF445,
11716657_at,7.92E-02,2.90E-02,2.3,-4.399309,2.72E-01,NM_004295.3,NA,TRAF4,
11735454_s_at,7.92E-02,2.90E-02,-2.3,-4.39949,-2.08E-01,NM_003194.3,NA,TBP,
11722933_at,7.92E-02,2.90E-02,-2.3,-4.400177,-1.81E-01,CA429418,NA,CHML,
11745171_x_at,7.92E-02,2.90E-02,-2.3,-4.400206,-2.51E-01,CX760440,NA,DIAPH1,
11718771_x_at,7.93E-02,2.90E-02,2.3,-4.400309,2.67E-01,NM_021237.3,NA,SELK,
11755818_a_at,7.93E-02,2.91E-02,2.3,-4.401239,4.78E-01,BX537863.1,NA,FYCO1,
11735284_x_at,7.94E-02,2.91E-02,2.3,-4.401553,2.29E-01,NM_018682.3,NA,KMT2E,
11749745_a_at,7.94E-02,2.91E-02,-2.3,-4.401601,-1.75E-01,AK301100.1,NA,SRP68,
11734426_x_at,7.94E-02,2.91E-02,2.3,-4.4019,1.67E-01,NM_022124.4,NA,CDH23,
11729889_at,7.95E-02,2.91E-02,2.3,-4.402856,1.23E-01,BC142962.1,NA,ZFP3,
11717552_s_at,7.95E-02,2.91E-02,-2.3,-4.403081,-2.98E-01,NM_001024948.1,NA,FNBP1L,
11746328_a_at,7.95E-02,2.91E-02,2.3,-4.403693,2.42E-01,AK301155.1,NA,MAEA,
11723306_s_at,7.95E-02,2.92E-02,-2.3,-4.403936,-1.45E-01,NM_138300.3,NA,PYGO2,
11749750_a_at,7.96E-02,2.92E-02,2.3,-4.404305,1.80E-01,AK301271.1,NA,WIPF1,
11742216_a_at,7.97E-02,2.92E-02,2.3,-4.405594,1.99E-01,AB009597.1,NA,KLRD1,
11737944_x_at,7.97E-02,2.92E-02,-2.3,-4.405623,-1.4,AK290090.1,NA,SPP1,
11754430_a_at,7.97E-02,2.92E-02,-2.3,-4.405633,-1.59E-01,BU631093,NA,HPS6,
11729507_a_at,7.97E-02,2.92E-02,2.3,-4.406,1.60E-01,NM_173159.2,NA,NPAS3,
11743396_a_at,7.97E-02,2.92E-02,2.3,-4.406469,2.00E-01,BX648561.1,NA,CSDE1,
11763102_at,7.98E-02,2.92E-02,-2.3,-4.406905,-1.29E-01,BC113935.1,NA,FCN2,
11724808_at,7.98E-02,2.93E-02,-2.3,-4.406978,-1.53E-01,BC136463.1,NA,CBL,
11730601_a_at,7.98E-02,2.93E-02,-2.3,-4.407571,-1.69E-01,BC064425.1,NA,INO80B,
11738145_a_at,7.98E-02,2.93E-02,2.3,-4.407584,2.35E-01,BC117171.1,NA,ARHGEF10L,
11749956_a_at,7.98E-02,2.93E-02,-2.3,-4.407667,-1.33E-01,BC105800.1,NA,TBC1D31,
11725726_a_at,7.98E-02,2.93E-02,-2.29,-4.407921,-3.16E-01,AY358436.1,NA,C1orf56,
11723307_a_at,7.98E-02,2.93E-02,-2.29,-4.408022,-1.55E-01,AK295805.1,NA,ACACA,
11718431_x_at,7.98E-02,2.93E-02,-2.29,-4.408076,-1.56E-01,NM_014931.3,NA,PPP6R1,
11750216_x_at,7.99E-02,2.93E-02,-2.29,-4.4082,-1.33E-01,AK297983.1,NA,SLC39A1,
11743817_s_at,7.99E-02,2.93E-02,-2.29,-4.408427,-3.78E-01,AK075176.1,NA,TEAD1,
11742828_s_at,7.99E-02,2.93E-02,2.29,-4.408474,3.28E-01,AK290491.1,NA,PHF3,
11754624_a_at,7.99E-02,2.93E-02,2.29,-4.408526,3.20E-01,BU078593,NA,CYB5A,
11732297_at,7.99E-02,2.93E-02,-2.29,-4.409248,-2.84E-01,AK056532.1,NA,KIAA1715,
11722374_a_at,8.00E-02,2.93E-02,-2.29,-4.409735,-2.11E-01,EB388154,NA,GGA2,
11734162_a_at,8.00E-02,2.93E-02,2.29,-4.409821,4.47E-01,D43945.1,NA,TFEC,
11748558_a_at,8.00E-02,2.93E-02,-2.29,-4.409886,-1.56E-01,AK298102.1,NA,DBNL,
11735406_at,8.00E-02,2.93E-02,-2.29,-4.409976,-1.16E-01,NM_001017981.1,NA,RNF215,
11740059_a_at,8.00E-02,2.94E-02,-2.29,-4.410221,-2.53E-01,BC030657.2,NA,KIF9,
11718788_a_at,8.00E-02,2.94E-02,-2.29,-4.41025,-5.50E-01,NM_000022.2,NA,ADA,
11733511_a_at,8.00E-02,2.94E-02,-2.29,-4.410487,-2.78E-01,NM_003828.2,NA,MTMR1,
11732091_a_at,8.00E-02,2.94E-02,2.29,-4.410607,2.34E-01,NM_018200.2,NA,HMG20A,
11715370_s_at,8.00E-02,2.94E-02,2.29,-4.410918,3.42E-01,NM_005567.3,NA,LGALS3BP,
11755980_x_at,8.00E-02,2.94E-02,2.29,-4.411043,1.69E-01,BC015379.2,NA,SLC25A3,
11721081_at,8.00E-02,2.94E-02,2.29,-4.411063,2.87E-01,BC016713.1,NA,PARVA,
11734936_a_at,8.01E-02,2.94E-02,2.29,-4.411499,1.83E-01,NM_014515.4,NA,CNOT2,
11718484_s_at,8.01E-02,2.94E-02,2.29,-4.411788,4.47E-01,NM_005318.3,NA,H1F0,
200067_PM_x_at,8.01E-02,2.94E-02,2.29,-4.412274,1.40E-01,AL078596,NA,SNX3,
11737927_a_at,8.01E-02,2.94E-02,-2.29,-4.412384,-2.08E-01,NM_001145652.1,NA,C6orf141,
11762834_at,8.02E-02,2.94E-02,-2.29,-4.412509,-2.55E-01,AB070452.1,NA,NKAIN2,
11723310_at,8.02E-02,2.94E-02,2.29,-4.412569,4.92E-01,NM_003840.3,NA,TNFRSF10D,
11719510_at,8.02E-02,2.94E-02,2.29,-4.412872,1.99E-01,NM_014877.3,NA,HELZ,
11724263_a_at,8.02E-02,2.94E-02,-2.29,-4.41298,-2.48E-01,NM_030974.3,NA,SHARPIN,
11763925_x_at,8.02E-02,2.95E-02,-2.29,-4.413101,-1.64E-01,NR_003029.2,NA,SNORD9,
11729357_x_at,8.02E-02,2.95E-02,2.29,-4.413605,1.74E-01,NM_173797.3,NA,PAPD4,
11752081_a_at,8.02E-02,2.95E-02,-2.29,-4.413724,-6.17E-01,BC021229.2,NA,EPT1,
11734258_a_at,8.02E-02,2.95E-02,2.29,-4.413771,1.47E-01,BC098102.1,NA,PRKAG3,
11724962_a_at,8.02E-02,2.95E-02,2.29,-4.413902,1.65E-01,BM992683,NA,SRGAP3,
11744727_a_at,8.03E-02,2.95E-02,2.29,-4.414223,1.40E-01,BC035002.1,NA,GPR137,
11719489_a_at,8.03E-02,2.95E-02,-2.29,-4.414234,-7.53E-01,AU118882,NA,EDNRA,
11735247_x_at,8.03E-02,2.95E-02,2.29,-4.414473,2.25E-01,NM_080876.3,NA,DUSP19,
11758421_s_at,8.03E-02,2.95E-02,2.29,-4.414488,2.84E-01,BX329471,NA,PTEN,
11722689_a_at,8.03E-02,2.95E-02,2.29,-4.414634,2.77E-01,BC137283.1,NA,SPTBN1,
11757072_s_at,8.03E-02,2.95E-02,2.29,-4.415039,3.24E-01,XM_001132928.1,NA,HS6ST1,
11762130_x_at,8.03E-02,2.95E-02,-2.29,-4.41504,-1.69E-01,BC020687.1,NA,CFHR3,
11721293_x_at,8.04E-02,2.95E-02,2.29,-4.41573,2.59E-01,AF124491.1,NA,GIT2,
11723292_at,8.04E-02,2.95E-02,-2.29,-4.415896,-1.51E-01,NM_032790.3,NA,ORAI1,
11728411_at,8.04E-02,2.95E-02,-2.29,-4.415941,-1.30E-01,BE676352,NA,CASZ1,
11721045_x_at,8.04E-02,2.96E-02,-2.29,-4.416056,-1.78E-01,NM_014044.5,NA,UNC50,
11758997_at,8.04E-02,2.96E-02,2.29,-4.416715,1.71E-01,AK095279.1,NA,SYNPO,
11747869_a_at,8.04E-02,2.96E-02,2.29,-4.416839,1.30E-01,BC067295.1,NA,POLR2A,
11746514_a_at,8.04E-02,2.96E-02,-2.29,-4.416907,-1.28E-01,BC144557.1,NA,KIF21B,
11724832_at,8.05E-02,2.96E-02,2.29,-4.417056,5.45E-01,NM_000351.4,NA,STS,
11753429_a_at,8.05E-02,2.96E-02,2.29,-4.417407,1.30E-01,AK294155.1,NA,WBP2,
11744393_x_at,8.05E-02,2.96E-02,-2.29,-4.417546,-2.98E-01,BC000927.1,NA,PAPOLA,
11719311_a_at,8.05E-02,2.96E-02,2.29,-4.417835,1.51E-01,AK294904.1,NA,CRY2,
11737421_at,8.05E-02,2.96E-02,2.29,-4.417991,1.45E-01,BC137241.1,NA,SOWAHB,
11756134_a_at,8.05E-02,2.96E-02,-2.29,-4.41825,-3.16E-01,CR936799.1,NA,FHL2,
11737614_a_at,8.06E-02,2.96E-02,-2.29,-4.418412,-1.26E-01,BC130581.1,NA,DMP1,
11728151_a_at,8.06E-02,2.96E-02,2.29,-4.418706,1.01E-01,NM_080868.2,NA,ASB17,
11736709_a_at,8.06E-02,2.96E-02,2.29,-4.41899,4.52E-01,NM_001112719.1,NA,LIMCH1,
11751444_a_at,8.06E-02,2.97E-02,-2.29,-4.41935,-1.57E-01,BC012445.1,NA,TRABD,
11732095_a_at,8.06E-02,2.97E-02,-2.29,-4.419512,-3.50E-01,NM_198309.2,NA,TTC8,
11721429_a_at,8.06E-02,2.97E-02,-2.29,-4.419687,-1.60E-01,U69556,NA,TBX3,
11752198_a_at,8.06E-02,2.97E-02,2.29,-4.419742,1.82E-01,AK303652.1,NA,PTPRM,
11720735_s_at,8.06E-02,2.97E-02,-2.29,-4.419839,-2.38E-01,NM_014665.1,NA,LRRC14,
11722066_a_at,8.07E-02,2.97E-02,2.29,-4.420018,2.31E-01,BC019843.1,NA,C12orf49,
11747769_x_at,8.07E-02,2.97E-02,-2.29,-4.420139,-2.36E-01,AK301686.1,NA,KRT6A,
11729207_s_at,8.07E-02,2.97E-02,-2.29,-4.420563,-1.80E-01,AK289854.1,NA,PTPN11,
11755039_s_at,8.07E-02,2.97E-02,-2.29,-4.420596,-5.30E-01,AK096492.1,NA,FBXL2,
11755091_a_at,8.07E-02,2.97E-02,-2.29,-4.420694,-3.90E-01,AL137481.1,NA,ABCA7,
11737652_a_at,8.07E-02,2.97E-02,-2.29,-4.420695,-1.04E-01,NM_205849.2,NA,FAM9B,
11760459_x_at,8.07E-02,2.97E-02,2.29,-4.421166,1.82E-01,AK294041.1,NA,EPS8L2,
11723345_a_at,8.08E-02,2.97E-02,2.29,-4.421702,2.31E-01,NM_177441.2,NA,TMUB2,
11715262_at,8.08E-02,2.97E-02,2.29,-4.421824,1.63E-01,,60498974,MTNR1A,
11760477_a_at,8.08E-02,2.97E-02,-2.29,-4.421949,-3.03E-01,AK289710.1,NA,EP400NL,
11718965_s_at,8.08E-02,2.97E-02,-2.29,-4.42197,-3.26E-01,NM_020772.2,NA,NUFIP2,
11745000_x_at,8.08E-02,2.97E-02,-2.29,-4.421985,-2.32E-01,BC117354.1,NA,TXNRD2,
11720874_at,8.08E-02,2.97E-02,-2.29,-4.422068,-1.41E-01,AK289678.1,NA,CORO2B,
11719931_x_at,8.08E-02,2.98E-02,-2.29,-4.422276,-3.67E-01,BU178739,NA,ARGLU1,
11749608_a_at,8.08E-02,2.98E-02,2.29,-4.422649,1.61E-01,AK293047.1,NA,RNF11,
11734324_at,8.08E-02,2.98E-02,-2.29,-4.422663,-2.52E-01,NM_178422.4,NA,PAQR7,
11753196_a_at,8.08E-02,2.98E-02,-2.29,-4.422731,-3.24E-01,AK295055.1,NA,CDC40,
11761071_at,8.08E-02,2.98E-02,2.29,-4.422807,1.42E-01,AK316197.1,NA,HLA-DOB,
11735323_at,8.08E-02,2.98E-02,2.29,-4.422987,2.85E-01,NM_152355.2,NA,ZNF441,
11722861_s_at,8.08E-02,2.98E-02,-2.29,-4.423022,-3.03E-01,NM_015271.3,NA,TRIM2,
11747506_a_at,8.09E-02,2.98E-02,-2.29,-4.423568,-3.40E-01,AK316548.1,NA,NAP1L4,
11753186_a_at,8.09E-02,2.98E-02,-2.29,-4.423938,-9.28E-02,AK301735.1,NA,RBSN,
